Observation,DayID,Treatment,Plants,Chosen
1,1,WW,A1,1
1,1,MS,A1,0
1,1,HS,A1,0
3,1,WW,A1,0
3,1,MS,A1,1
3,1,HS,A1,0
4,1,WW,A2,0
4,1,MS,A2,1
4,1,HS,A2,0
5,1,WW,A2,0
5,1,MS,A2,1
5,1,HS,A2,0
6,1,WW,A2,1
6,1,MS,A2,0
6,1,HS,A2,0
12,2,WW,B1,1
12,2,MS,B1,0
12,2,HS,B1,0
16,2,WW,B1,0
16,2,MS,B1,1
16,2,HS,B1,0
18,2,WW,B1,0
18,2,MS,B1,0
18,2,HS,B1,1
21,2,WW,B1,0
21,2,MS,B1,1
21,2,HS,B1,0
22,2,WW,B1,0
22,2,MS,B1,0
22,2,HS,B1,1
24,3,WW,B2,0
24,3,MS,B2,1
24,3,HS,B2,0
28,3,WW,B2,0
28,3,MS,B2,1
28,3,HS,B2,0
35,3,WW,B2,0
35,3,MS,B2,1
35,3,HS,B2,0
37,3,WW,B2,0
37,3,MS,B2,1
37,3,HS,B2,0
40,3,WW,B2,1
40,3,MS,B2,0
40,3,HS,B2,0
42,4,WW,B3,0
42,4,MS,B3,1
42,4,HS,B3,0
44,4,WW,B3,0
44,4,MS,B3,1
44,4,HS,B3,0
47,4,WW,B3,0
47,4,MS,B3,1
47,4,HS,B3,0
50,4,WW,B3,0
50,4,MS,B3,0
50,4,HS,B3,1
53,4,WW,B3,0
53,4,MS,B3,1
53,4,HS,B3,0
55,5,WW,C1,0
55,5,MS,C1,0
55,5,HS,C1,1
56,5,WW,C1,1
56,5,MS,C1,0
56,5,HS,C1,0
60,5,WW,C1,0
60,5,MS,C1,0
60,5,HS,C1,1
62,5,WW,C1,0
62,5,MS,C1,0
62,5,HS,C1,1
64,5,WW,C1,0
64,5,MS,C1,0
64,5,HS,C1,1
65,5,WW,C1,0
65,5,MS,C1,0
65,5,HS,C1,1
67,5,WW,C1,0
67,5,MS,C1,1
67,5,HS,C1,0
69,6,WW,C2,1
69,6,MS,C2,0
69,6,HS,C2,0
74,6,WW,C2,0
74,6,MS,C2,1
74,6,HS,C2,0
77,6,WW,C2,0
77,6,MS,C2,1
77,6,HS,C2,0
80,6,WW,C2,0
80,6,MS,C2,0
80,6,HS,C2,1
